,psis_specific_c1_ratios,psis_specific_c2_ratios,phi_direct_cs_ratios,phi_indirect_cs_ratios
0,0.5039018288723043,0.13329096007346825,0.008509869184810375,0.0006786561599720485
1,0.2840037939840187,0.2505074227112093,0.03246539563044057,0.00529067629779532
2,0.3519122686592172,0.3441499332342237,0.11853251497761319,0.0031571133891037913
3,0.4767803577353331,0.5978636042911815,0.047944220361173066,0.0005277691817249737
4,0.04632616613048865,0.29424325222373837,0.070363324046831,0.0036542903478143205
5,0.15274481275906987,0.06351235123083933,0.17452204416237602,0.0023314020711048076
6,0.16717676455738975,0.027516774117199688,0.06018727221574301,0.0028324421748332704
7,0.33198132536489,0.10975345152772872,0.11393691687476783,0.00231039967038117
8,0.2061732114616144,0.3465430714329995,0.06300966542146369,0.0008326684838657054
9,0.3440512569530935,0.1143141698994906,0.01939180300278027,0.0024886724258473534
10,0.6008777870396224,0.1650722705796287,0.03348895467264015,0.0001362997191596925
11,0.09079453746500996,0.2500022018301726,0.10667614443918598,0.002542363022635004
12,0.5349432851601456,0.06355695522634476,0.16142079724892203,0.023163819599110003
13,0.1353574623870019,0.4227313155405186,0.07043233839785233,0.00393624912492231
14,0.11399037358196454,0.3601118770590319,0.06577539412237708,0.013354683694279192
15,0.28053798137313213,0.14896975582435606,0.08686519576767439,0.00041816475343248324
16,0.6888855975307001,0.24540116189868177,0.042800528842008995,0.001130811546168382
17,0.16356019224945162,0.3783498243739573,0.06998770738372583,0.0008216989238066086
18,0.34925255769071345,0.6319404461833349,0.0010617123532163438,0.009846576408915798
19,0.26310009568014786,0.38740801450710843,0.02015076075743311,0.0018463503400278486
20,0.6273488657177181,0.2824310471827738,0.02107822504174601,0.0038188331107413234
21,0.5466242138979647,0.3166951593843536,0.0918301244275446,0.003785969166189385
22,0.2701108633166712,0.37811451134281465,0.07820367328008052,0.0013295142310148743
23,0.13050848658348133,0.5739318316164845,0.16030778158556905,0.003510116030913336
24,0.3919728107044713,0.035328602803643035,0.182940476125814,0.0661791474047843
